rank,instrument,score
1,SZ301175,0.11576304891913854
2,SH600064,0.10703011611495374
3,SH601326,0.10694390210337214
4,SH601107,0.10694231152458422
5,SZ002960,0.10439711515539732
6,SH603055,0.10146098347708715
7,SH600662,0.09778048469752322
8,SZ000498,0.09668953519680167
9,SH688443,0.09655717989417055
10,SH688306,0.09647503165034947
11,SH601528,0.09487668823028095
12,SH600033,0.09417276390008322
13,SH601333,0.09248328629416085
14,SZ002511,0.09214472014295305
15,SH601677,0.09188717534647631
16,SZ002091,0.09089950511428783
17,SH600956,0.08975797374367622
18,SZ301215,0.08794275140865265
19,SH600787,0.08758069350562177
20,SH688128,0.08563756570579728
