rank,instrument,score
1,SH688717,0.11257809233227123
2,SH600064,0.10679127873619336
3,SH601528,0.1025345666552194
4,SH600033,0.1025345666552194
5,SH601033,0.1013244202544049
6,SZ000550,0.09941481248485974
7,SZ002091,0.09919128328380443
8,SZ301175,0.09784912133978534
9,SH600928,0.09706896589106764
10,SH600787,0.09706896589106764
11,SH600662,0.09625983409337102
12,SZ000829,0.09625983409337102
13,SH601200,0.09472190064824054
14,SZ002839,0.09447708726461293
15,SH601107,0.09382562666192097
16,SH600639,0.09176606478116037
17,SH603055,0.09053276743346356
18,SZ002936,0.09035277948466651
19,SZ002239,0.09004972328341979
20,SZ002948,0.08776061165737596
