rank,instrument,score
1,SZ300185,0.1173852654440163
2,SH688717,0.11022905429796426
3,SH600033,0.09399314829455403
4,SH600928,0.09013596714591515
5,SZ002091,0.08871406595451582
6,SH600064,0.08777210843817149
7,SH600116,0.08748471729328497
8,SZ000719,0.08695530373821918
9,SZ000829,0.0858709030076975
10,SZ301175,0.08586898173656707
11,SZ000828,0.08563794454743555
12,SH601528,0.08493911990058052
13,SZ000550,0.08436870596888081
14,SZ002911,0.08436870596888081
15,SH603055,0.08396261424246179
16,SH601200,0.08338053807650429
17,SH688548,0.08290987478212827
18,SZ002958,0.08228787004795034
19,SH600639,0.08167622139818097
20,SZ002839,0.08118804256118484
