rank,instrument,score
1,SZ301175,0.11412023670902971
2,SH601107,0.11218387885013728
3,SZ001914,0.11185590934685107
4,SZ002690,0.1074629470498679
5,SH600064,0.10703011611495374
6,SZ301589,0.1065273954788204
7,SZ000498,0.1033718881515064
8,SH600718,0.10309813584784337
9,SH600662,0.10309813584784337
10,SH601200,0.10212920454380586
11,SH603055,0.10206119615840246
12,SZ002511,0.1000786246943258
13,SZ002807,0.09992006821231492
14,SZ002948,0.09828753151307318
15,SH600787,0.09778048469752322
16,SH601033,0.09653961256867123
17,SH600643,0.09596951000237032
18,SZ002091,0.09509598386419378
19,SH600956,0.09492149805556627
20,SH603027,0.09454660203068273
