rank,instrument,score
1,SH600064,0.11576304891913854
2,SH601528,0.11224441388740394
3,SH600662,0.11011601438734606
4,SH603055,0.10500666264915301
5,SZ000829,0.10365191286486092
6,SH601200,0.10000711337289603
7,SZ301175,0.09951168702708169
8,SZ002936,0.09828418107907756
9,SH601033,0.09826254486248971
10,SH601107,0.09820937872039942
11,SZ000828,0.09637003470500094
12,SZ002839,0.09532119019564118
13,SH600643,0.09531175374302374
14,SZ002948,0.0950167207067538
15,SH600787,0.09462127694976039
16,SH688717,0.094212068297557
17,SH601326,0.0934226786289203
18,SH601677,0.09174140074655629
19,SH601860,0.09104510636523648
20,SH600006,0.09042178784913459
