rank,instrument,score
1,SZ301175,0.1139056233382633
2,SH601107,0.1034119096869976
3,SH600064,0.10171246496463358
4,SH688306,0.0991890612120935
5,SZ002948,0.09755146867689593
6,SZ301589,0.09327354290379952
7,SZ000828,0.09312566830879679
8,SH601083,0.09309689192104274
9,SH601326,0.0919725041985708
10,SZ002145,0.09196986769042875
11,SZ002705,0.0903823622792631
12,SH601333,0.08974557547337388
13,SH601528,0.08932326838496187
14,SH600787,0.08930362579944023
15,SH688128,0.08915620073753187
16,SZ002960,0.08899246051076648
17,SH601222,0.08873819211699717
18,SH600037,0.08695831979769919
19,SZ300685,0.0864851489635698
20,SZ000719,0.08537770538276297
